City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,22.32,78,20,4.63,US,1722507095
1,jamestown,42.097,-79.2353,19.88,99,100,2.06,US,1722507067
2,hermanus,-34.4187,19.2345,16.56,57,0,0.93,ZA,1722507097
3,puerto natales,-51.7236,-72.4875,1.25,98,100,0.56,CL,1722507098
4,kodiak,57.79,-152.4072,8.73,81,0,3.09,US,1722507099
5,kapuskasing,49.4169,-82.4331,18.05,88,75,1.54,CA,1722507007
6,bijar,35.8668,47.6051,28.9,15,0,1.62,IR,1722506872
7,blackmans bay,-43.0167,147.3167,7.07,91,100,3.03,AU,1722507102
8,along,28.1667,94.7667,32.07,55,41,2.44,IN,1722507103
9,kristiansund,63.1115,7.732,16.12,74,75,1.03,NO,1722507104
10,port-aux-francais,-49.35,70.2167,3.8,87,58,12.28,TF,1722507105
11,ribeira grande,38.5167,-28.7,24.22,83,40,1.54,PT,1722507106
12,margaret river,-33.95,115.0667,11.66,58,90,5.45,AU,1722507107
13,tazacorte,28.629,-17.9293,23.42,83,40,7.2,ES,1722507109
14,punta arenas,-53.15,-70.9167,5.06,93,75,5.14,CL,1722507110
15,aykhal,66.0,111.5,14.62,41,31,3.31,RU,1722507111
16,edmundston,47.3737,-68.3251,21.22,100,100,1.54,CA,1722507112
17,waitangi,-43.9535,-176.5597,7.68,73,33,8.8,NZ,1722507113
18,murzuq,25.9155,13.9184,34.91,20,33,5.18,LY,1722507114
19,crane,31.3974,-102.3501,25.95,47,5,7.2,US,1722507115
20,santa cruz de la palma,28.6835,-17.7642,25.08,61,40,7.2,ES,1722507116
21,ushuaia,-54.8,-68.3,2.05,98,100,2.46,AR,1722506865
22,todos santos,23.45,-110.2167,25.25,87,94,0.23,MX,1722506838
23,belmonte,-15.8631,-38.8828,21.53,87,60,2.27,BR,1722507119
24,guantanamo,20.1444,-75.2092,25.26,86,10,2.02,CU,1722507120
25,invercargill,-46.4,168.35,3.9,91,22,1.18,NZ,1722507121
26,mugia,43.1041,-9.2179,18.84,86,100,4.33,ES,1722507123
27,tiksi,71.6872,128.8694,4.0,68,78,1.85,RU,1722507124
28,iqaluit,63.7506,-68.5145,3.72,80,44,2.85,CA,1722506975
29,bethel,41.3712,-73.414,20.55,90,0,0.0,US,1722507061
30,grytviken,-54.2811,-36.5092,-7.45,71,14,4.44,GS,1722507127
31,les avirons,-21.2418,55.3394,22.87,53,0,3.6,RE,1722507128
32,albany,42.6001,-73.9662,19.64,96,38,1.94,US,1722507129
33,grand falls-windsor,48.9332,-55.6649,19.72,95,61,2.78,CA,1722507130
34,hawaiian paradise park,19.5933,-154.9731,20.33,90,20,3.09,US,1722507131
35,karratha,-20.7377,116.8463,21.15,61,94,4.53,AU,1722507132
36,adamstown,-25.066,-130.1015,20.61,89,100,7.13,PN,1722507133
37,ulladulla,-35.35,150.4667,4.32,75,88,4.62,AU,1722507134
38,nemuro,43.3236,145.575,16.22,95,100,5.55,JP,1722507135
39,taoudenni,22.6783,-3.9836,39.62,9,5,7.76,ML,1722507136
40,college,64.8569,-147.8028,10.38,86,75,2.57,US,1722507137
41,verkhnevilyuysk,63.4453,120.3167,16.92,43,35,2.41,RU,1722507139
42,thompson,55.7435,-97.8558,18.09,72,40,1.54,CA,1722507140
43,vila velha,-20.3297,-40.2925,21.08,89,40,3.09,BR,1722507008
44,alakurtti,66.9672,30.3491,12.09,90,100,3.45,RU,1722507142
45,tura,25.5198,90.2201,26.34,89,100,4.73,IN,1722507143
46,yellowknife,62.456,-114.3525,10.79,89,69,3.58,CA,1722506977
47,ariquemes,-9.9133,-63.0408,21.66,56,0,0.58,BR,1722507145
48,qingdao,36.0986,120.3719,27.78,94,20,3.0,CN,1722506581
49,atafu village,-8.5421,-172.5159,27.66,73,98,8.53,TK,1722507147
50,ust'-kulom,61.6864,53.6902,20.75,76,66,1.65,RU,1722507148
51,igarka,67.4667,86.5833,17.47,68,92,4.89,RU,1722507149
52,kimbe,-5.5502,150.1429,25.25,87,23,2.55,PG,1722507150
53,fort st. john,56.2499,-120.8529,11.94,76,0,3.6,CA,1722507151
54,uturoa,-16.7333,-151.4333,23.37,59,1,8.09,PF,1722507152
55,guerrero negro,27.9769,-114.0611,19.0,87,1,4.2,MX,1722507154
56,puerto ayora,-0.7393,-90.3518,19.43,93,33,2.22,EC,1722507155
57,knyaze-volkonskoye,48.4642,135.4567,22.19,98,100,2.4,RU,1722507135
58,san antonio de pale,-1.4014,5.6325,22.54,74,77,5.18,GQ,1722507157
59,waingapu,-9.6567,120.2641,26.0,73,0,3.92,ID,1722507158
60,edinburgh of the seven seas,-37.0676,-12.3116,12.67,71,34,12.65,SH,1722507159
61,la paz,-16.5,-68.15,6.43,33,20,3.09,BO,1722506965
62,olonkinbyen,70.9221,-8.7187,4.22,95,100,7.54,SJ,1722507161
63,yuzhno-kurilsk,44.0306,145.8556,15.93,98,100,2.95,RU,1722507162
64,kirensk,57.7853,108.1119,21.83,46,95,2.06,RU,1722507163
65,port lincoln,-34.7333,135.8667,12.4,53,18,5.77,AU,1722507164
66,afaahiti,-17.75,-149.2833,17.93,62,27,6.42,PF,1722507165
67,palmer,42.1584,-72.3287,20.98,82,0,0.0,US,1722507166
68,bandarbeyla,9.4942,50.8122,33.54,45,13,14.06,SO,1722507167
69,kaga bandoro,6.9896,19.1874,29.84,56,58,3.45,CF,1722507169
70,vorgashor,67.5833,63.95,24.65,48,66,2.94,RU,1722507170
71,ceeldheer,3.8488,47.1806,28.77,57,20,11.34,SO,1722507171
72,arno,60.1167,18.6333,14.88,53,53,6.16,SE,1722507172
73,lagos,6.5833,3.75,27.18,71,68,4.23,NG,1722506733
74,enewetak,11.3474,162.3373,29.0,75,63,5.38,MH,1722507174
75,pimenta bueno,-11.6725,-61.1936,19.98,57,0,0.28,BR,1722507175
76,west island,-12.1568,96.8225,26.99,69,75,6.17,CC,1722507176
77,ust-nera,64.5667,143.2,4.52,100,100,2.3,RU,1722507177
78,zhanaozen,43.3,52.8,32.6,21,0,7.61,KZ,1722506897
79,qui nhon,13.7667,109.2333,31.69,63,43,5.31,VN,1722507180
80,kulhudhuffushi,6.6221,73.07,28.68,78,100,5.62,MV,1722507181
81,bilibino,68.0546,166.4372,5.64,57,90,1.15,RU,1722507182
82,ilulissat,69.2167,-51.1,3.01,100,100,2.57,GL,1722507184
83,cidreira,-30.1811,-50.2056,14.12,91,86,4.8,BR,1722507185
84,salalah,17.0151,54.0924,24.48,95,100,3.09,OM,1722507186
85,zemio,5.0314,25.1361,26.16,66,95,2.04,CF,1722507187
86,anadyr,64.75,177.4833,6.67,100,75,1.0,RU,1722507188
87,tete,-16.1564,33.5867,26.05,50,75,3.09,MZ,1722507189
88,aqsay,51.1678,52.995,26.65,34,50,6.76,KZ,1722507190
89,bubaque,11.2833,-15.8333,26.89,82,41,4.0,GW,1722507053
90,nova sintra,14.8667,-24.7167,24.51,79,88,6.39,CV,1722507192
91,katsuren-haebaru,26.3369,127.8719,30.45,78,20,4.12,JP,1722507193
92,thinadhoo,0.5333,72.9333,28.95,77,87,4.4,MV,1722507194
93,majene,-3.5403,118.9707,27.76,74,42,4.21,ID,1722507195
94,vadso,70.0744,29.7487,15.09,82,100,8.75,NO,1722507196
95,weinan,34.5036,109.5089,33.75,60,1,2.82,CN,1722507197
96,curuca,-0.7289,-47.8481,22.73,98,29,0.81,BR,1722507200
97,andradas,-22.0681,-46.5692,12.4,89,2,3.25,BR,1722507096
98,lihue,21.9789,-159.3672,23.11,78,20,4.63,US,1722507202
99,jiangzi,28.95,89.6333,18.34,16,39,1.45,CN,1722507203
100,tarfaya,27.9358,-12.9218,21.53,90,38,8.62,MA,1722507204
101,ola,59.5833,151.2833,12.13,90,100,3.33,RU,1722507205
102,senanga,-16.1167,23.2667,31.01,11,0,5.21,ZM,1722507206
103,port mathurin,-19.6833,63.4167,22.74,74,76,4.51,MU,1722507207
104,papatowai,-46.5619,169.4708,5.92,81,78,1.29,NZ,1722507208
105,smidovich,48.6,133.8167,21.03,92,64,2.5,RU,1722507209
106,howrah,22.5892,88.3103,27.0,100,100,5.66,IN,1722507003
107,isafjordur,66.0755,-23.124,11.02,71,75,7.72,IS,1722507212
108,cabo san lucas,22.8909,-109.9124,28.75,77,87,0.45,MX,1722507213
109,mambajao,9.2504,124.7156,27.45,81,83,2.46,PH,1722507214
110,san julian,21.0167,-102.1667,13.77,92,98,0.75,MX,1722507215
111,hamilton,39.1834,-84.5333,21.0,93,75,2.06,US,1722507164
112,malango,-2.9627,119.9001,20.75,99,70,1.1,ID,1722507217
113,al ghayzah,16.2079,52.176,29.18,71,99,3.0,YE,1722507218
114,wewak,-3.5534,143.6268,27.31,84,54,3.34,PG,1722507219
115,mairwa,26.2333,84.15,35.85,49,100,4.71,IN,1722507220
116,manhush,47.0558,37.3107,29.67,26,1,4.57,UA,1722507221
117,qarauyl,48.9451,79.255,31.74,24,0,6.48,KZ,1722507222
118,lebu,-37.6167,-73.65,11.21,92,100,13.27,CL,1722507223
119,arroio grande,-32.2375,-53.0869,13.43,88,40,2.64,BR,1722507224
120,whitehorse,60.7161,-135.0538,9.27,90,100,1.54,CA,1722507225
121,nouadhibou,20.931,-17.0347,23.99,73,20,8.23,MR,1722507227
122,alupka,44.4167,34.05,26.22,51,0,3.98,UA,1722507228
123,lompoc,34.6391,-120.4579,11.98,96,100,1.54,US,1722507229
124,carnarvon,-24.8667,113.6333,18.32,65,8,8.74,AU,1722507230
125,taroa,8.7058,171.2275,28.54,78,11,4.93,MH,1722507231
126,st. john's,47.5649,-52.7093,19.47,94,27,3.13,CA,1722506992
127,qaqortoq,60.7167,-46.0333,6.5,73,25,2.72,GL,1722507233
128,karasburg,-28.0167,18.75,16.58,9,0,2.02,NA,1722507234
129,ouesso,1.6136,16.0517,34.39,33,41,1.75,CG,1722507235
130,antsiranana,-12.2787,49.2917,28.14,48,3,8.2,MG,1722507236
131,sao filipe,14.8961,-24.4956,24.67,82,65,2.94,CV,1722507238
132,luderitz,-26.6481,15.1594,19.0,39,0,5.25,NA,1722507239
133,borskoye,53.0333,51.7167,25.01,43,64,5.24,RU,1722507241
134,birao,10.2849,22.7882,28.41,66,90,4.21,CF,1722507242
135,olinda,-8.0089,-34.8553,25.85,69,40,5.14,BR,1722507201
136,nikolayevsk-on-amure,53.1406,140.73,14.62,99,100,1.43,RU,1722507245
137,tabuk,17.4189,121.4443,26.39,90,86,2.59,PH,1722506979
138,shchigry,51.8755,36.9043,23.9,39,65,7.07,RU,1722507248
139,akureyri,65.6835,-18.0878,15.96,59,75,2.57,IS,1722507249
140,cao bang,22.6667,106.25,26.46,96,100,1.15,VN,1722507250
141,port elizabeth,-33.918,25.5701,17.84,60,0,2.57,ZA,1722507251
142,aasiaat,68.7098,-52.8699,0.85,92,63,2.87,GL,1722507252
143,bonanza,14.0289,-84.591,21.66,99,100,0.75,NI,1722507254
144,constantia,44.1833,28.65,31.38,43,0,5.52,RO,1722507255
145,balkanabat,39.5108,54.3671,33.41,37,34,3.3,TM,1722507256
146,ilebo,-4.3167,20.5833,38.61,22,19,0.71,CD,1722507257
147,el bauga,18.262,33.9081,33.44,43,90,6.8,SD,1722507258
148,barguzin,53.6167,109.6167,23.84,59,98,3.2,RU,1722507259
149,sisimiut,66.9395,-53.6735,7.92,60,6,3.47,GL,1722507260
150,magdalena,14.1999,121.429,27.93,88,29,0.92,PH,1722507261
151,porto novo,6.4965,2.6036,27.23,72,84,5.03,BJ,1722506979
152,bella vista,36.4295,-94.2316,24.26,76,100,2.57,US,1722507264
153,merritt,50.1123,-120.7942,13.51,85,20,0.55,CA,1722507265
154,mossingen,48.4057,9.0542,25.6,58,100,4.92,DE,1722507267
155,redencao,-4.2258,-38.7306,21.54,78,2,3.25,BR,1722507268
156,tolanaro,-25.0319,46.9987,24.0,48,0,6.57,MG,1722507269
157,okhotsk,59.3833,143.3,11.8,89,100,2.47,RU,1722507270
158,salon-de-provence,43.6407,5.0954,32.13,37,0,2.57,FR,1722507271
159,tabas,33.5959,56.9244,45.29,7,6,4.21,IR,1722507272
160,shirochanka,46.6497,38.3978,28.95,29,0,5.13,RU,1722507273
161,alofi,-19.0595,-169.9187,20.94,73,40,3.09,NU,1722507274
162,chabahar,25.2919,60.643,29.17,80,53,5.13,IR,1722507275
163,acarau,-2.8856,-40.12,24.29,74,7,6.32,BR,1722507276
164,prince albert,53.2001,-105.7677,15.97,88,20,3.09,CA,1722507277
165,lobujya,27.95,86.8167,5.69,95,86,2.84,NP,1722507279
166,ribeira brava,32.65,-17.0667,28.17,79,1,3.02,PT,1722507280
167,pecan plantation,32.3604,-97.6756,24.28,82,3,0.45,US,1722507281
168,matriz de camaragibe,-9.1517,-35.5333,21.69,87,2,2.03,BR,1722507282
169,oltinko'l,40.8011,72.1634,44.56,9,0,3.53,UZ,1722507283
170,stanley,54.868,-1.6985,15.97,92,20,0.51,GB,1722507284
171,manismata,-2.4667,111.0333,26.64,92,28,1.49,ID,1722507286
172,wuchang,44.9143,127.15,24.64,96,72,3.6,CN,1722507287
173,talnakh,69.4865,88.3972,25.9,30,24,1.66,RU,1722507288
174,kapa'a,22.0752,-159.319,23.07,78,20,4.63,US,1722507289
175,takoradi,4.8845,-1.7554,24.12,87,100,4.9,GH,1722507290
176,jhusi,25.4333,81.9333,37.46,42,100,2.19,IN,1722507291
177,aioun,16.6614,-9.6149,32.53,46,90,8.65,MR,1722507293
178,avarua,-21.2078,-159.775,19.03,72,100,1.03,CK,1722507294
179,longyearbyen,78.2186,15.6401,12.91,71,0,2.06,SJ,1722507295
180,olyokminsk,60.3736,120.4264,18.53,34,17,1.81,RU,1722507296
181,bratsk,56.1325,101.6142,19.27,71,90,2.5,RU,1722507297
182,coron,11.9986,120.2043,28.15,78,88,1.63,PH,1722507298
183,huarmey,-10.0681,-78.1522,17.45,84,0,3.1,PE,1722507299
184,codrington,-38.2667,141.9667,8.39,76,75,3.27,AU,1722507301
185,iquique,-20.2208,-70.1431,15.02,76,0,2.41,CL,1722507302
186,uliastay,47.7417,96.8444,18.85,49,94,5.4,MN,1722507303
187,georgetown,5.4112,100.3354,32.91,52,20,4.63,MY,1722507304
188,bemidji,47.4736,-94.8803,17.93,100,100,2.06,US,1722507305
189,saipan,15.1355,145.701,29.39,84,0,2.57,MP,1722507307
190,gadzhiyevo,69.2551,33.3362,13.11,87,100,6.49,RU,1722507308
191,mersing,2.4312,103.8405,30.95,74,40,5.66,MY,1722507309
192,lazaro cardenas,17.9583,-102.2,26.17,82,100,1.83,MX,1722507310
193,chonchi,-42.6128,-73.8092,8.4,95,99,3.71,CL,1722507311
194,aitape,-3.1374,142.3475,26.76,89,44,3.02,PG,1722507312
195,la'ie,21.6477,-157.9253,24.19,80,87,0.89,US,1722507313
196,hasaki,35.7333,140.8333,27.22,91,100,4.28,JP,1722507314
197,opuwo,-18.0607,13.84,25.86,17,0,2.06,NA,1722507315
198,rajgarh,28.6333,75.3833,27.83,77,100,1.23,IN,1722507316
199,haiku-pauwela,20.9219,-156.3051,20.99,76,40,6.17,US,1722507317
200,dudinka,69.4058,86.1778,26.37,30,15,3.7,RU,1722507318
201,utrik,11.2278,169.8474,28.15,81,4,4.93,MH,1722507319
202,ngong,-1.3618,36.6566,20.99,48,53,2.74,KE,1722507320
203,suratgarh,29.3167,73.9,28.97,71,100,1.42,IN,1722507322
204,sitka,57.0531,-135.33,12.94,88,100,2.57,US,1722507323
205,forster,-32.1667,152.5167,10.72,91,51,6.06,AU,1722507324
206,bredasdorp,-34.5322,20.0403,14.7,59,0,0.93,ZA,1722507325
207,campestre,-21.7111,-46.2464,11.1,94,0,1.87,BR,1722507326
208,hithadhoo,-0.6,73.0833,28.97,77,67,5.1,MV,1722507327
209,new norfolk,-42.7826,147.0587,8.49,85,100,0.69,AU,1722507328
210,rongelap,11.1635,166.8941,28.38,77,1,5.14,MH,1722507329
211,sinop,41.7711,34.8709,23.24,52,2,5.38,TR,1722507330
212,mount isa,-20.7333,139.5,12.87,47,1,2.06,AU,1722507331
213,las heras,-46.5419,-68.9359,5.42,73,98,7.47,AR,1722507332
214,tshabong,-26.05,22.45,23.35,29,95,11.34,BW,1722507333
215,colonia,50.9333,6.95,22.07,84,20,1.54,DE,1722507202
216,praya,14.9215,-23.5087,27.3,65,40,5.14,CV,1722507316
217,zharkent,44.1628,80.0,38.68,11,0,0.57,KZ,1722507111
218,oranjemund,-28.55,16.4333,15.44,49,0,4.84,NA,1722507338
219,laconia,43.5279,-71.4704,21.44,94,0,3.09,US,1722507339
220,vernon,50.2581,-119.2691,18.88,60,8,1.03,CA,1722507164
221,noumea,-22.2763,166.4572,20.56,99,100,1.74,NC,1722507341
222,san andres,12.5847,-81.7006,26.01,100,40,1.03,CO,1722507342
223,mawlaik,23.6333,94.4167,24.12,99,100,0.47,MM,1722507343
224,arvayheer,46.2639,102.775,18.2,59,41,4.78,MN,1722507344
225,rajpur,22.3,74.35,27.97,80,100,7.98,IN,1722507347
226,tlahualilo de zaragoza,26.1167,-103.45,26.85,45,3,4.52,MX,1722507348
